text,user,date,fav_count,retweet_count,retweet
Baby Shark with the trophy is such a cool touch. These are 10/10 https://t.co/35HdRcqIb5,cd3lisi,2020-05-25 03:35:17,2,0,False
Tom Brady golfing like Mitch Trubisky playing QB,cd3lisi,2020-05-24 20:30:00,2,0,False
@LadyLovesBraves @Sugarsandwhichs @DOBrienATL 😴😴😴😴,cd3lisi,2020-05-24 15:27:14,26,0,False
This is what I see every day in the mirror with no barber shops open: https://t.co/TKHzcVdXbM,cd3lisi,2020-05-22 13:52:40,7,0,False
@MrDBigs @RobbieDuncanOL @Eric_Edholm Sellars and Darrel Young were 🔥🔥,cd3lisi,2020-05-19 04:46:16,1,0,False
Dennis Rodman truly is one of the most unique people on planet Earth,cd3lisi,2020-05-18 02:12:14,3,0,False
*Redskins players for once staying out of trouble for a whole offseason while quarantining and spending time with t… https://t.co/CrQCFUgxs9,cd3lisi,2020-05-16 18:32:01,4,0,False
"This has to be the dumbest thing an active world leader has ever said, right? https://t.co/K072M2tAvM",cd3lisi,2020-05-15 04:06:00,4,0,False
“MJ punched me in the face. It was awesome” -Steve Kerr,cd3lisi,2020-05-11 02:44:23,3,0,False
@SaintHampton06 @CapitalsPR https://t.co/BRx8cfpvlC,cd3lisi,2020-05-08 15:29:58,0,0,False
Nothing look a good road game to start the season in your own stadium https://t.co/8HcYZ9f2D8,cd3lisi,2020-05-07 17:20:21,5,0,False
RT @drankturpentine: been lying in bed so long my grandson is going to take over a chocolate factory,cd3lisi,2020-05-06 04:51:39,0,26583,False
@NHLonNBCSports https://t.co/aCyiR43Jow,cd3lisi,2020-05-05 22:04:22,8,0,False
@NHLonNBCSports Ovi took that thing home and had dinner with it sitting on his kitchen table then proceeded to win… https://t.co/Ata2r9O4nC,cd3lisi,2020-05-05 18:31:46,29,0,False
"@Jordan_Gold0 @NickThunman @ChilinWithDylan Coach O is about to show up and snag this kid. 

Fly Purple Eagles, Go Tiguhs",cd3lisi,2020-05-04 21:50:53,2,0,False
@AristocratAlex 😂😂😂😂 this had me legit laughing out loud,cd3lisi,2020-05-01 19:37:23,2,0,False
"Thanks for everything, #42. #CapsIn7 https://t.co/H3ngmW6S44",cd3lisi,2020-04-27 15:21:04,3,0,False
@alexbusch93 @TylerIAm @MeghanRimol,cd3lisi,2020-04-27 04:07:33,0,0,False
Imagine you dream about playing in the NFL your entire childhood and instead of hearing the commissioner call your… https://t.co/IEbyoBB1ly,cd3lisi,2020-04-25 17:30:55,5,0,False
"RT @cjscalia: Chase Young and Dwayne Haskins are both from Maryland, which suggests that the Redskins want to stock their roster with terri…",cd3lisi,2020-04-24 01:10:56,0,15,False
Baby Shark with the trophy is such a cool touch. These are 10/10 https://t.co/35HdRcqIb5,cd3lisi,2020-05-25 03:35:17,2,0,False
Tom Brady golfing like Mitch Trubisky playing QB,cd3lisi,2020-05-24 20:30:00,2,0,False
