text,user,date,fav_count,retweet_count,retweet
Sugma/Ligma @US_FDA https://t.co/zIHWySxy3I,slpyboy,2022-06-23 20:03:39,4,0,False
"@foglake_ I made this in college and it’s not the greatest but 100% recorded with a rock band mic lol

https://t.co/FuoIWPcNa9",slpyboy,2022-06-23 12:54:31,2,0,False
@xanax_princess_ WHAT?!?!,slpyboy,2022-06-22 19:18:13,0,0,False
RT @charleyhorseatx: We’re playing @HITWatx on Tuesday at 9! 🤘😎🎸 https://t.co/vMMDWvFIF4,slpyboy,2022-06-17 18:41:31,0,2,False
@tomdelonge No 🧢,slpyboy,2022-06-16 14:14:39,0,0,False
Balder and hotter than ever,slpyboy,2022-06-15 19:05:20,2,0,False
Cap,slpyboy,2022-06-15 06:50:41,0,0,False
RT @charleyhorseatx: We're playing @HotelVegasATX tonight at 9pm yall 🤠 https://t.co/XkvSVgyy3t,slpyboy,2022-06-15 06:47:46,0,3,False
Charley Horse “Summer” EP is out today. This shit is so sick you better stream it.,slpyboy,2022-05-27 14:04:54,6,0,False
"RT @charleyhorseatx: Hey y’all, our Summer EP is out tomorrow on all streaming platforms hehe",slpyboy,2022-05-26 16:57:40,0,1,False
“I’m a big stepper/ I had one sip of Dr Pepper/ and it changed my life forever”- Kendrick,slpyboy,2022-05-18 20:07:45,2,0,False
RT @charleyhorseatx: Next up: 💎Locket💜 https://t.co/wMypMy1rJ3,slpyboy,2022-05-18 00:55:35,0,1,False
"RT @charleyhorseatx: Here’s a sneak peak at the first track off our upcoming SUMMER EP⛱

✨Shine☀️

Out on all streaming platforms 5/27🍻 

#…",slpyboy,2022-05-18 00:55:33,0,1,False
"RT @charleyhorseatx: Summer EP out 5/27 on all streaming platforms!

#charleyhorse #summer #newmusic #newrelease #powerpop #alternativerock…",slpyboy,2022-05-10 17:59:14,0,2,False
This Charley Horse EP got me feeling like Babu Frik 🥵,slpyboy,2022-05-06 21:28:53,3,0,False
RT @charleyhorseatx: Oh yeah go stream Our song Exercise on all streaming platforms https://t.co/IGYxRyIYeW,slpyboy,2022-04-05 20:07:18,0,1,False
@franklez @Halo_VFX Where is the hairy chin ball tho,slpyboy,2022-03-28 21:00:34,0,0,False
Listen to our new band plz https://t.co/kXjftOPvTH,slpyboy,2022-02-28 19:31:52,3,0,False
"@therealjuicyj Beautiful, merry Christmas mane &lt;3",slpyboy,2021-12-25 06:00:13,1,0,False
@therealjuicyj And D8,slpyboy,2021-12-25 05:33:20,1,0,False
Sugma/Ligma @US_FDA https://t.co/zIHWySxy3I,slpyboy,2022-06-23 20:03:39,4,0,False
"@foglake_ I made this in college and it’s not the greatest but 100% recorded with a rock band mic lol

https://t.co/FuoIWPcNa9",slpyboy,2022-06-23 12:54:31,2,0,False
@xanax_princess_ WHAT?!?!,slpyboy,2022-06-22 19:18:13,0,0,False
RT @charleyhorseatx: We’re playing @HITWatx on Tuesday at 9! 🤘😎🎸 https://t.co/vMMDWvFIF4,slpyboy,2022-06-17 18:41:31,0,2,False
